time,user,src_ip,country,action,status
2026-05-14 09:00:01,admin,185.220.101.1,Russia,login_attempt,failed
2026-05-14 09:00:05,admin,185.220.101.1,Russia,login_attempt,failed
2026-05-14 09:00:10,admin,185.220.101.1,Russia,login_attempt,failed
2026-05-14 09:00:20,admin,185.220.101.1,Russia,login_attempt,success
2026-05-14 09:01:01,user1,103.25.45.2,China,login_attempt,failed
2026-05-14 09:01:05,user1,103.25.45.2,China,login_attempt,failed
2026-05-14 09:02:10,user2,192.168.1.10,Local,login_attempt,success
2026-05-14 09:03:44,finance,45.77.65.211,Nigeria,login_attempt,failed
2026-05-14 09:03:50,finance,45.77.65.211,Nigeria,login_attempt,failed
2026-05-14 09:04:10,finance,45.77.65.211,Nigeria,login_attempt,success
